fase;campeonato;copa;pista;bioma;ambiente;clima;horario;peculiaridade;traço dominante;compassos/sections;fingerprint
1;1;Copa Verde Inicial;Serpentina Vulcano Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;hairpin forte;16;cf8ecc8c769e
2;1;Copa Verde Inicial;Boulevard Relâmpago Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;42fc1b042dde
3;1;Copa Verde Inicial;Volta Centelha 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;túnel escuro;19;aad8f696cff0
4;1;Copa Verde Inicial;Autódromo Solaris RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;curva longa de alta;19;1ea6dc5ddb2c
5;1;Copa Verde Inicial;Serpentina Diamante Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;d59c2ba28732
6;1;Copa Verde Inicial;Boulevard Atlas Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;descida rápida;16;86726ea54f65
7;1;Copa Verde Inicial;Volta Jaguar Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;02231753ced5
8;1;Copa Verde Inicial;Autódromo Saturno Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;esses de alta velocidade;18;eff97c4267a3
9;1;Copa Verde Inicial;Serpentina Coral Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;entrada de chicane;19;b31238ff70a9
10;1;Copa Verde Inicial;Boulevard Aurora Pro;desert;Cânion seco;céu limpo;Pôr do sol;ponte estreita;reta de recuperação;14;967c687a7aad
11;1;Copa Verde Inicial;Volta Vulcano GT;city;Porto neon;chuva;Noite;sequência de placas;túnel escuro;14;18ddd7ddd63b
12;1;Copa Verde Inicial;Autódromo Relâmpago Endurance;city;Megacidade cyber;tempestade;Madrugada;curva de raio crescente;esses de alta velocidade;17;208de8427c62
13;1;Copa Verde Inicial;Serpentina Centelha Master;grass;Floresta leve;neblina;Amanhecer;chicane curta;ponte estreita;18;ab62449c65a4
14;1;Copa Verde Inicial;Boulevard Solaris Extreme;grass;Costa tropical;céu limpo;Tarde;miolo de 3 vértices;saída de chicane;19;9cdd87a3df28
15;1;Copa Verde Inicial;Volta Diamante Noite;city;Cidade neon;noite seca;Noite;cotovelo em subida;entrada de chicane;15;efb429f0be82
16;1;Copa Verde Inicial;Autódromo Atlas Sul;grass;Campos verdes;céu limpo;Manhã;hairpin duplo;entrada de chicane;16;9d6066d8704f
17;1;Copa Verde Inicial;Serpentina Jaguar Final;mountain;Vale nevado;neblina;Noite;retomada após túnel;saída de chicane;17;b596fac34bef
18;1;Copa Verde Inicial;Boulevard Saturno Prime;desert;Cânion seco;céu limpo;Pôr do sol;túnel escuro;esses de alta velocidade;20;92e0f10d7023
19;1;Copa Verde Inicial;Volta Coral Sprint;city;Porto neon;chuva;Noite;subida em caracol;reta de recuperação;20;e427448f1b92
20;1;Copa Verde Inicial;Autódromo Aurora SX;city;Megacidade cyber;tempestade;Madrugada;curva de raio fechado;entrada de chicane;15;ceb2257de71d
21;1;Copa Verde Inicial;Serpentina Vulcano Arcade;grass;Floresta leve;neblina;Amanhecer;curva longa de alta;esses de alta velocidade;15;af441d10fbea
22;1;Copa Verde Inicial;Boulevard Relâmpago Turbo;grass;Costa tropical;céu limpo;Tarde;curva espelhada falsa;ponte estreita;17;78f43ceb175a
23;1;Copa Verde Inicial;Volta Centelha Norte;city;Cidade neon;noite seca;Noite;zigue-zague rítmico;esses de alta velocidade;18;8131a2c5c807
24;1;Copa Verde Inicial;Autódromo Solaris Chuva;grass;Campos verdes;céu limpo;Manhã;subida cega;hairpin forte;19;405b8965e3f7
25;1;Copa Verde Inicial;Serpentina Diamante Oeste;mountain;Vale nevado;neblina;Noite;trecho de aderência baixa;entrada de chicane;15;6e6b7dfc41a6
26;1;Copa Verde Inicial;Boulevard Atlas 16B;desert;Cânion seco;céu limpo;Pôr do sol;miolo ondulado;esses de alta velocidade;15;d276adc485b1
27;1;Copa Verde Inicial;Volta Jaguar RX;city;Porto neon;chuva;Noite;reta de largada larga;curva longa de alta;17;1ddb72fe2aa9
28;2;Torneio Costa Azul;Circuito Horizonte Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;descida rápida;18;04cec6537828
29;2;Torneio Costa Azul;Grande Laço Cobalto Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;e7b1f0056e09
30;2;Torneio Costa Azul;Ponte Cascata Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;saída de chicane;15;a435d3256e10
